"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","12-juin-2026","DRKN0202","Mbanza Mpa","12/06/2026 01:49:00","12/06/2026 05:55:00","0","4,1","","Passive","un module faulty sur 6 ( déclenchement de LVD ) Module retiré (ZONE ROUGE)","LVD enclenché .","Non","TRB1371771"
"2","12-juin-2026","DRKN0202","Mbanza Mpa","12/06/2026 07:52:00","12/06/2026 10:34:00","0","2,7","30","Passive","Câble brûlé au niveau du Michtmat vers le BBS suite a overload du tenant Orange.","Partie endommagée du cable coupée, nouveau soulier de cable installé Enclechement manuel du CB","Non","TRB1371862"
"3","12-juin-2026","DRKN8048","Route_Sebo","12/06/2026 09:33:00","12/06/2026 10:00:00","0","0,45","25","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load attaint jusqu'à 111 A avec un CB de 100 A","Enclechement manuel du CB","Non","TRB1371904"
"4","12-juin-2026","DRKN6862","New Etrier","12/06/2026 12:10:00","12/06/2026 13:12:00","0","1,03","","","Hybrid System Failed ( Dysfonctionnement du controleur )","reset controleur et démarrage manuel du DG","Non","TRB1371983"
"5","12-juin-2026","DRKN0189","Vivi","12/06/2026 17:58:00","12/06/2026 19:58:00","0","2","20","","CB Switch off","CB enclenché","Non","TRB1372133"
"6","12-juin-2026","DRKN0064","Sola","12/06/2026 20:18:00","12/06/2026 20:29:00","0","0,18","30","Passive","Site à  Failble autonomie (à chaque changement de secteur le site tombe)","","Non","TRB1372163"
"7","12-juin-2026","DRKN0195","Kasa Vubu","12/06/2026 20:21:30","12/06/2026 21:08:00","1,17","0,78","30","Passive","Arrêt du GE avec alarme de température élevée causée par une fuite au niveau des durites de refroidissement","Prise en charge de la fuite","Non","TRB1372140"
"8","12-juin-2026","DRKN0189","Vivi","12/06/2026 20:40:00","12/06/2026 23:15:00","0","2,58","30","","Câble 50mm² D'africell   Briller","Câble  remplacer,  70mm²,  13m×2","Oui","TRB1372133"
"9","12-juin-2026","DRKN0247","Malueka","12/06/2026 22:34:30","12/06/2026 22:56:00","0","0,37","25","","Tenant Overlaod calibre 100A","CB enclenche","Oui","TRB1372222"
"10","12-juin-2026","DRKN0249","Ngomba Kikusa","12/06/2026 22:15:30",,"0","2,09","","","","","","TRB1372133"
