"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","18-juin-2026","DRKN2063","Kinshasa_Flamboyant","30/12/1899 07:57:51","22/06/2026 09:36:43","0","1,65","","Passive","Batterie de démarrage déchargée","Usage d'une batterie de secours","Non","TRB1374865"
"2","18-juin-2026","DRKN2063","Kinshasa_Flamboyant","30/12/1899 10:52:28","22/06/2026 11:06:33","0","0,23","","Passive","modules faulty","1 module remplacé et démarrage du DG","Non","TRB1374957"
"3","18-juin-2026","DRKN0068","Badiadingi","30/12/1899 12:19:28","22/06/2026 12:55:03","0","0,59","","Passive","Une alarme Coolant hightemp causée par une surcharge du DG (DG overloadé)","Ajout de coolant et delestage d'une batterie sur 3 afin de dimunier la Charge","Non","TRB1374933"
"4","18-juin-2026","DRKN2063","Kinshasa_Flamboyant","30/12/1899 14:31:48","22/06/2026 16:25:22","0","1,89","","Passive","Altenateur de charge faulty","Remplacement de la batterie de démarrage et connection du chargeur statique","Non","TRB1375047"
"5","18-juin-2026","DRKN8372","Kin_Maluka2","30/12/1899 15:13:16","22/06/2026 16:17:34","0","1,07","","Passive","swape generateur","swape generateur","Non","TRB1375033"
"6","18-juin-2026","DRKN2156","Telecom","30/12/1899 15:18:45","22/06/2026 17:18:19","0","1,99","","Active","CB Brulé au niveau de la BBS Vodacom Overload, le load atteint 119A","CB remplacé","Non","TRB1375074"
"7","18-juin-2026","DRKN0292","Saint François","30/12/1899 16:59:21","22/06/2026 17:13:28","0","0,24","","Passive","DG Overload","Ajout collant","Non","TRB1375124"
"8","18-juin-2026","DRKN0292","Saint François","30/12/1899 18:44:16","22/06/2026 20:39:01","0","1,91","","Passive","DG Overload","Site Up by Grid","Non","TRB1375124"
"9","18-juin-2026","DRKN0202","Mbanza Mpa","30/12/1899 19:54:32","22/06/2026 20:21:36","0","0,45","","Passive","Prise d'air après Ravitaillement","Prise d'air chassée, site sous DG","Non","TRB1375195"
"10","18-juin-2026","DRKN8342","Aicha KBG_Kintambo","30/12/1899 20:12:31","22/06/2026 21:34:37","4","1,37","","Passive","coolant High temp  causé par le capteur de temperature Fauty","secouer en attente du remplacement","Non","TRB1375201"
"11","18-juin-2026","DRKN0292","Saint François","30/12/1899 23:23:00","22/06/2026 02:35:31","1,67","3,21","","Passive","Le DG 20 kVA a dépassé ses heures de fonctionnement et ne supporte plus la charge du site. Le site fonctionne avec seulement 3 modules, insuffisants pour recharger les BBU. Site actuellement maintenu par le Grid","Déploiement urgent d’un DG 30 kVA.","Non","TRB1375299"
"12","18-juin-2026","DRKN0192","Bondo","30/12/1899 23:16:00","22/06/2026 23:35:30","3,17","0,32","","Passive","Instabilité Grid","isolé momentanément","Non","TRB1375300"
