"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","26-juin-2026","DRKN0171","Kimwenza Gare","26/06/2026 01:00:12","26/06/2026 01:47:00","3,83","0,78","30","Passive","DG gripper","Site up by BBU","Non","TRB1378852"
"2","26-juin-2026","DRKN0171","Kimwenza Gare","26/06/2026 06:24:54","26/06/2026 11:29:00","0","5,07","25","Passive","DG gripper","Site up by BBU","Non","TRB1378976"
"3","26-juin-2026","DRKN0253","Camping","26/06/2026 08:16:46","26/06/2026 08:52:00","0","0,6","15","Passive","CB dans la BBS switch Off","CB enclenché manuellement","Non","TRB1379013"
"4","26-juin-2026","DRKN6881","Kinsuka-Pecheur2","26/06/2026 09:37:16","26/06/2026 09:53:00","1","0,26","30","Passive","site a faible autonomie (changement de secteur )","site sous DG","Non","TRB1379033"
"5","26-juin-2026","DRKN0190","Cuba","26/06/2026 09:40:00","26/06/2026 10:44:00","0","1,08","30","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load atteint jusqu'à 86A avec un CB de 63 A","CB enclenché manuellement","Non","TRB1379042"
"6","26-juin-2026","DRKN6881","Kinsuka-Pecheur2","26/06/2026 11:18:48","26/06/2026 11:45:00","0","0,45","25","Passive","site a faible autonomie (changement de secteur )","site sous DG","Non","TRB1379079"
"7","26-juin-2026","DRKN0190","Cuba","26/06/2026 11:25:08","26/06/2026 13:37:00","0","2,21","30","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load atteint jusqu'à 86A avec un CB de 63 A","CB enclenché manuellement","Non","TRB1379042"
"8","26-juin-2026","DRKN0697","Ex. Maternité","26/06/2026 11:46:52","26/06/2026 12:39:00","0","0,88","30","Passive","prise d'air Prise d'air au niveau de filtre gasoilfiltre à gazole bouché","Prise d'air Chasser démarrer le DG","Non","TRB1379067"
"9","26-juin-2026","DRKN2099","Kinshasa_Bunda","26/06/2026 10:31:57","26/06/2026 10:44:00","0","0,21","25","Passive","Under voltage Fil d'AVR déconnecté","correction et demarrage DG","Non","TRB1379035"
"10","26-juin-2026","DRKN6883","Lacolline2","26/06/2026 11:56:48","26/06/2026 13:09:00","0","1,21","20","Passive","Airtel Overload calibre de 100A load 127A","CB enclenché manuellement","Non","TRB1379126"
"11","26-juin-2026","DRKN0171","Kimwenza Gare","26/06/2026 13:32:33","26/06/2026 14:25:00","0","0,88","20","Passive","DG gripper","Site up by BBU","Non","TRB1379145"
"12","26-juin-2026","DRKN0171","Kimwenza Gare","26/06/2026 15:40:14","26/06/2026 18:09:00","0","2,49","","Passive","Faulty engine unit.","Installation and commissioning of a 50kVA generator set (transferred from UPN2).","Non","TRB1379219"
"13","26-juin-2026","DRKN0190","Cuba","26/06/2026 18:04:58","26/06/2026 18:53:00","1,07","0,8","","Passive","High temp dû à la diminution de liquide de refroidissement","Ajout colant","Non","TRB1379244"
"14","26-juin-2026","DRKN2246","Kinshasa_Lulendo","26/06/2026 18:04:27","26/06/2026 19:10:00","0","1,11","","Passive","Instabilité Grid","Isolé momentanement, Demarrage DG","Non","TRB1379267"
"15","26-juin-2026","DRKN6881","Kinsuka-Pecheur2","26/06/2026 19:11:18","26/06/2026 19:46:00","1,17","0,58","","Passive","le générateur était en mode manuel, après le départ du courant ( grid ) il n'a pas pû démarrer.","démarrage du générateur et remise en mode Auto.","Non","TRB1379278"
"16","26-juin-2026","DRKN6881","Kinsuka-Pecheur2","26/06/2026 20:37:18","26/06/2026 21:29:00","1","0,87","","Passive","Fiche positif de l'electro vanne débranché due au fortes vibrations du dg  30kva","Cable de l'electrovanne branché et démarrage du DG","Non","TRB1379328"
"17","26-juin-2026","DRKN0697","Ex. Maternité","26/06/2026 20:46:18","27/06/2026 01:10:00","0","4,4","","Passive","une batterie faulty qui endommageait les autres et ne permettait pas l'augmentation de la tension.","suppression de la batterie endommagée et  la tension est devenue normale et stable","Non","TRB1379331"
"18","26-juin-2026","DRKN0202","Mbanza Mpa","26/06/2026 21:39:11","26/06/2026 22:35:00","0","0,94","","Passive","High temp dû à la diminution de liquide de refroidissement","Ajout colant","Non","TRB1379352"
"19","26-juin-2026","DRKN0069","Bumba","26/06/2026 20:37:33","26/06/2026 21:53:00","1,5","1,27","","Passive","Le CB de vodacom deserré dans la BBS","CB réfixé et le Tenant vodacom aussi est Overloadé","Non","TRB1379299"
"20","26-juin-2026","DRKN0191","Kitomesa","26/06/2026 22:18:37","26/06/2026 22:35:00","3,65","0,28","","Passive","Insuffisance de modules 3/9 modules faulty","Delestage de 5batteries/9","","TRB1379300"
"21","26-juin-2026","DRKN0191","Kitomesa","26/06/2026 23:12:34","26/06/2026 23:22:00","0","0,16","","Passive","Insuffisance de modules 3/9 modules faulty","Delestage de 5batteries/9","","TRB1379378"
"22","26-juin-2026","DRKN2246","Kinshasa_Lulendo","26/06/2026 22:53:17","27/06/2026 04:57:00","0","6,07","","Passive","Relais negatif de l'electrovanne faulty","Relais bypassé","","TRB1379374"
"23","26-juin-2026","DRKN7201","Lubwaku","26/06/2026 22:32:17","27/06/2026 01:24:00","0","2,87","","Active","CB Off Aitel Overload, le load arrive jusqu'à 126A, besoin d'une autre ligne","CB enclenché manuellement","","TRB1379359"
