"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","04-août-2026","DRKN2082","Kinshasa_Pecheur","04/08/2026 02:06:00","04/08/2026 02:19:00","0","0,22","25","Passive","Fuel shortage","Appoint 175litres","Oui","TRB1398495"
"2","04-août-2026","DRKN9259","Kinshasa_Mafuta","04/08/2026 08:57:07","04/08/2026 11:02:00","1,78","2,09","25","Passive","Démarreur Faulty (DG 20Kva)","Démarreur remplacé","Non","TRB1398640"
"3","04-août-2026","DRKN8442","Kin_Malueka_Nkotila","04/08/2026 09:22:00","04/08/2026 09:33:00","0","0,2","25","Passive","DG 20Kva Overload","Ajout coolant (Connexion du DG de 30Kva)","Non","TRB1398684"
"4","04-août-2026","DRKN0006","Kimbwala","04/08/2026 13:48:00","04/08/2026 17:02:00","0","3,25","25","Passive","DC Off Dans la BBS, Vodacom Overload 192A","Enclenché","Non","TRB1398835"
"5","04-août-2026","DRKN0201","Mama Yemo","04/08/2026 15:38:00","04/08/2026 16:09:00","0","0,52","25","Passive","CB DC brûlé, tenant Orange overload","CB remplacé (orange a deux lignes)","Non","TRB1398887"
"6","04-août-2026","DRKN8442","Kin_Malueka_Nkotila","04/08/2026 18:18:06","04/08/2026 18:29:00","0,07","0,18","30","Passive","DG 20Kva Overload","Ajout coolant (Connexion du DG de 30Kva)","Non","TRB1398953"
"7","04-août-2026","DRKN0006","Kimbwala","04/08/2026 18:07:11","04/08/2026 19:12:00","0","1,08","25","Passive","DC Off Dans la BBS, Vodacom Overload 129A","Enclenché","Non","TRB1398954"
"8","04-août-2026","DRKN0202","Mbanza Mpa","04/08/2026 19:23:11","04/08/2026 20:42:00","0","1,32","30","Passive","CB du tenant orange Off au niveau de la BBS, Orange Overloade, le load attaint jusqu'à 129 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1398982"
"9","04-août-2026","DRKN0006","Kimbwala","04/08/2026 19:20:11","04/08/2026 20:05:00","0","0,75","25","Passive","DC Off Dans la BBS, Vodacom Overload 129A","Enclechement manuel du CB","Non","TRB1398979"
"10","04-août-2026","DRKN0697","Ex. Maternité","04/08/2026 18:36:11","04/08/2026 18:50:00","0","0,25","20","Passive","CB du tenant orange Off au niveau de la BBS, Orange Overloade, le load attaint jusqu'à 143 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1398962"
"11","04-août-2026","DRKN0697","Ex. Maternité","04/08/2026 19:33:11","04/08/2026 19:56:00","0","0,38","10","Passive","CB du tenant orange Off au niveau de la BBS, Orange Overloade, le load attaint jusqu'à 143 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1398962"
"12","04-août-2026","DRKN0006","Kimbwala","04/08/2026 20:22:11","04/08/2026 21:01:00","0","0,65","25","Passive","DC Off Dans la BBS, Vodacom Overload 129A","Enclechement manuel du CB","Non","TRB1399010"
"13","04-août-2026","DRKN0753","Tshikapa Ngombe","04/08/2026 20:46:11","04/08/2026 21:10:00","0","0,4","15","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 135 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1399019"
"14","04-août-2026","DRKN0006","Kimbwala","04/08/2026 21:24:11","04/08/2026 22:32:00","0","1,13","25","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 120 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1399035"
"15","04-août-2026","DRKN0247","Malueka","04/08/2026 21:42:11","04/08/2026 22:54:00","0","1,2","25","Passive","CB du tenant orange Off au niveau de la DC Box, Orange Overloade, le load attaint jusqu'à 134 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1399049"
"16","04-août-2026","DRKN0202","Mbanza Mpa","04/08/2026 21:16:11","05/08/2026 05:43:00","0","8,45","","Passive","CB du tenant orange Off au niveau de la BBS, Orange Overloade, le load attaint jusqu'à 129 A avec un CB de 125 A","","Non","TRB1399059"
"17","04-août-2026","DRKN0006","Kimbwala","04/08/2026 22:51:11","04/08/2026 23:53:00","0","1,03","30","Passive","CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 120 A avec un CB de 125 A","Enclechement manuel du CB","Non","TRB1399058"
